"","YEAR","SITE","namSite","MAS_LEAF","GAL_LEAF","NSP_LEAF","MAS_LEAF2","GAL_LEAF2","NSP_LEAF2","MAS_NL","GAL_NL","NSP_NL","GALL_NT","NGAL_NT","ANDRICUS","A_KINGI","A_FULLAW","A_PARMULA","A_CONFER","NEUROTER","N_SALT","ANTRON","A_DOUG","A_CLAVULA","NTREES","LAT","LONG"
"24",2003,4,"Sedgwick",3e-04,0.3579,0.1643,2e-04,0.3079,0.1476,0,0.0479,0.0206,0.0017,2.0909,0.000124,0,2.4e-05,0,0,5.3e-05,5.3e-05,0.000133,0,0.000133,11,34.72,120.03
"25",2000,4,"Sedgwick",4e-04,0.1192,0.047,4e-04,0.1192,0.047,1e-04,0.0269,0.0096,0.0033,0.9091,0.000446,0.000446,0,0,0,0,0,0,0,0,11,34.72,120.03
"26",2004,4,"Sedgwick",0.0036,0.4404,0.1376,0.0036,0.4149,0.112,4e-04,0.0454,0.0153,0.0227,2.2,0.001362,0.000693,5e-05,7.6e-05,0.000462,0,0,0.002272,0.002156,0.000115,10,34.72,120.03
"27",2002,4,"Sedgwick",0.0035,0.9454,0.1595,0.0033,0.9338,0.1479,4e-04,0.1477,0.0227,0.0221,5.9091,0.002161,0.002039,0,0.000122,0,7.1e-05,7.1e-05,0.001244,0.001023,1.2e-05,11,34.72,120.03
"28",2006,4,"Sedgwick",4e-04,0.2298,0.0373,4e-04,0.21,0.0175,1e-04,0.0892,0.0128,0.0023,1.4444,0,0,0,0,0,0.000367,0.000367,0,0,0,9,34.72,120.03
"29",2004,8,"Liebre Mtn",3e-04,0.5392,0.1363,0,0.1532,0.0972,0,0.084,0.0218,0.0014,2.4444,1.7e-05,1.7e-05,0,0,0,1.4e-05,1.4e-05,0,0,0,9,34.73,118.68
"30",2000,8,"Liebre Mtn",6e-04,0.0858,0.0858,6e-04,0.0858,0.0858,1e-04,0.0095,0.0095,0.0022,0.3636,0.000552,0.000552,0,0,0,0,0,0,0,0,11,34.73,118.68
"31",2005,8,"Liebre Mtn",0.0181,1.2573,0.1626,0.0111,0.3993,0.1227,0.0047,0.2735,0.0474,0.1431,8.1,0.004406,0.000121,1e-06,0,0,2.3e-05,2.3e-05,0.010918,0.010918,0,10,34.73,118.68
"32",2003,8,"Liebre Mtn",0.0016,3.3385,0.1329,0.0016,3.3217,0.1161,4e-04,0.8132,0.0255,0.0143,30,0.000866,0.000574,0.000206,0,8.7e-05,0.00064,0.00064,5.4e-05,0,5.4e-05,10,34.73,118.68
"33",2001,8,"Liebre Mtn",0.0059,3.5206,0.327,0.0053,3.4813,0.3139,0.001,0.5037,0.0459,0.0415,20.8182,0.00485,0.001781,0.000295,0,0.002774,0.000435,0.000435,0,0,0,11,34.73,118.68
"34",2006,8,"Liebre Mtn",0.0129,3.3715,0.2607,0.0124,2.8701,0.2607,0.0015,0.4268,0.0313,0.0424,11.6667,0.012352,0.012352,0,0,0,3.7e-05,3.7e-05,0,0,0,9,34.73,118.68
"35",2002,8,"Liebre Mtn",0.0031,0.109,0.0504,3e-04,0.065,0.0357,2e-04,0.01,0.0054,0.0214,0.7,0.000255,0.000234,0,2.1e-05,0,0,0,0,0,0,10,34.73,118.68
"36",2000,9,"Hopland",0.0215,1.5836,0.1961,0.0069,1.4402,0.1127,0.0026,0.1606,0.0186,0.1645,9.5,0.006657,0.006657,0,0,0,0,0,0.014371,0.000206,0,10,38.97,123.12
"37",2005,9,"Hopland",0.0169,0.89,0.1353,0.008,0.6521,0.1353,0.0035,0.1282,0.0208,0.0891,4.7,0.002082,0.001656,0,0,0.000426,0,0,0.005905,0.005905,0,10,38.97,123.12
"38",2003,9,"Hopland",0.0107,1.8474,0.1782,0.0107,1.8243,0.1666,0.0015,0.236,0.0229,0.0904,15.3,0.008278,0.004384,0,0,0.003894,0,0,0.002453,0.002199,0.000255,10,38.97,123.12
"39",2001,9,"Hopland",0.008,1.0452,0.241,0.008,1.0201,0.2285,0.001,0.1299,0.0303,0.0529,6.8889,0.003253,0.00249,0,9.2e-05,0.00067,3.3e-05,2e-05,0.004755,0.004494,0.000261,9,38.97,123.12
"40",2006,9,"Hopland",0.0036,0.1021,0.0758,0.0036,0.1021,0.0758,6e-04,0.0196,0.0155,0.0138,0.4,0.001014,0.001014,0,0,0,0,0,0.002582,0.002582,0,10,38.97,123.12
"41",2004,9,"Hopland",0.0117,0.5057,0.1809,0.0063,0.4333,0.1628,0.0021,0.0875,0.0304,0.0718,2.8,0.001095,0.001035,0,6e-05,0,0,0,0.005401,0.005091,0.00013,10,38.97,123.12
"42",2002,9,"Hopland",0.005,0.435,0.1311,0.0013,0.3745,0.119,0.0012,0.0764,0.0187,0.0401,3,0.001232,0.001196,0,3.7e-05,0,2.1e-05,2.1e-05,0.003753,0,0,10,38.97,123.12
"43",2000,10,"Tower House",0.0012,0.2758,0.1363,0.0012,0.2758,0.1363,2e-04,0.0399,0.0187,0.0097,2.1111,0.001158,0.001127,3.1e-05,0,0,0,0,1.1e-05,0,1.1e-05,9,40.63,122.57
"44",2002,10,"Tower House",0.0048,0.5202,0.1171,0.0048,0.5202,0.1171,9e-04,0.0918,0.0246,0.0238,2.5833,0.00267,0.00267,0,0,0,0,0,0.00216,0.00216,0,12,40.63,122.57
"45",2003,10,"Tower House",0.0015,0.1755,0.1676,0.0015,0.1676,0.1597,2e-04,0.0249,0.0237,0.0077,0.9231,0.000325,0.000283,4.2e-05,0,0,0,0,0.001134,0.000849,0.000285,13,40.63,122.57
"46",2001,10,"Tower House",0.0116,2.3046,0.5898,0.0115,2.2735,0.5794,0.0019,0.4054,0.0963,0.0638,13.0833,0.008423,0.004028,0.000465,3.3e-05,0.003897,9.3e-05,8.2e-05,0.003042,0.002668,0.000374,12,40.63,122.57
"47",2005,10,"Tower House",0.0206,0.9045,0.3523,0.0201,0.859,0.3523,0.0026,0.1077,0.0497,0.0672,3,0.000162,0,0.000162,0,0,5.9e-05,5.9e-05,0.019908,0.019908,0,12,40.63,122.57
"48",2006,10,"Tower House",0.0048,0.7403,0.2498,0.0048,0.7403,0.2498,8e-04,0.1012,0.0342,0.0143,2.0769,0.004375,0.004375,0,0,0,3.9e-05,3.9e-05,0.000405,0.000405,0,13,40.63,122.57
"49",2004,10,"Tower House",3e-04,0.1607,0.1179,2e-04,0.0808,0.0536,1e-04,0.031,0.0208,0.0016,0.8333,0,0,0,0,0,5e-06,5e-06,0.000198,0.000136,6.1e-05,12,40.63,122.57
"50",2005,11,"Dye Creek",0.1061,12.2727,0.5288,0.1017,11.885,0.5288,0.0166,1.8577,0.0683,0.5703,65.4615,0.081271,0.070162,0,6e-06,0.011103,5e-06,5e-06,0.020402,0.019999,0.000403,13,40.13,122
"51",2000,11,"Dye Creek",0.0676,6.6702,0.3017,0.0676,6.6702,0.3017,0.0143,1.4395,0.0506,0.362,37.75,0.058264,0.058264,0,0,0,0.000259,0.000259,0.009089,0.009089,0,8,40.13,122
"52",2001,11,"Dye Creek",0.0976,17.175,0.7188,0.0974,16.6957,0.6343,0.0179,3.1032,0.1258,0.7566,132.6364,0.08053,0.063079,0.001265,0.000145,0.016042,0.000425,0.000331,0.016493,0.015089,0.001404,11,40.13,122
"53",2006,11,"Dye Creek",0.0374,3.9169,0.3123,0.0365,3.367,0.2641,0.0079,0.7672,0.0624,0.1462,14.8333,0.033777,0.032917,0,0,0,1.8e-05,1.8e-05,0.003558,0.003558,0,12,40.13,122
"54",2003,11,"Dye Creek",0.0831,8.7263,0.4493,0.083,8.7026,0.4374,0.013,1.2641,0.0642,0.4824,46.4167,0.063945,0.05426,0,0.000157,0.009433,8.8e-05,8.8e-05,0.019065,0.019065,0,12,40.13,122
