collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
1618,95,Quercus,alba,5/30/2019,"City Park , Iowa City IA (41.676, -91.539)",White oak,acraspis erinacei sex.,"103 with no exit holes, about 1/3 to 1/2 of those collected already had exit holes, found on branches on ground under white oaks",perimature,,viable
163,33,Quercus,alba,4/1/2016,"City Park , Iowa City IA (41.676, -91.539)",White oak,Neuroterus vesicula,"round globular bud galls, drak brown/green. Fleshy",dormant,,viable
164,33,Quercus,alba,4/1/2016,"City Park , Iowa City IA (41.676, -91.539)",White oak,Neuroterus vesicula,,dormant,,viable
178,33,,,4/2/2016,Kent Park,,Neuroterus vesicula,,dormant,,viable
181,19,Quercus,alba,4/2/2016,Kent Park,White oak,Disholcaspis quercusglobulus,,dormant,,viable
182,33,Quercus,alba,4/2/2016,Kent Park,White oak,Neuroterus vesicula,,dormant,,viable
187,33,Quercus,alba,4/2/2016,Kent Park,White oak ,Neuroterus vesicula,,dormant,,viable
204,33,Quercus,alba,4/14/2016,"City Park , Iowa City IA (41.676, -91.539)",White oak,Neuroterus vesicula,,dormant,,viable
211,10,Quercus,bicolor,4/7/2016,Hickory Hills Park,Swamp White Oak ,Andricus quercusstrobilanus?,"not all fallen off , turn grey/brown twig color, at least 0ne year old",dormant,,viable
212,38,Quercus,imbricaria,4/26/2016,Pentacrest,Shingle Oak,Dryocosmus quercuspalustris,,dormant,,viable
213,38,Quercus,imbricaria,4/26/2016,Pentacrest,Shingle Oak,Dryocosmus quercuspalustris,"initially in water, to see if that is needed *from ecolusions later on, water is not needed",dormant,,viable
219,38,Quercus,palustris,4/29/2016,Scott Park,Pin Oak,Dryocosmus quercuspalustris,,dormant,,viable
220,38,Quercus,palustris,4/29/2016,Scott Park,Pin oak,Dryocosmus quercuspalustris,,dormant,,viable
231,40,Quercus,alba,5/7/2016,Hickory Hills Park,White Oak,Andricus quercusutriculus,"Similar to D.quercuspalustris but smaller, green and integral maybe only 2-3mm in diameter",dormant,,viable
236,38,Quercus,palustris,5/7/2016,Hickory Hills Park,Pin Oak,Dryocosmus quercuspalustris,"in water,",dormant,,viable
240,38,Quercus,coccinea,5/18/2016,Pentacrest,Scarlet oak,Dryocosmus quercuspalustris,,dormant,,viable
242,38,Quercus,imbricaria,5/18/2016,Pentacrest,Shingle oak,Dryocosmus quercuspalustris,,dormant,,viable
