collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
837,70,Quercus,palustris,6/3/2017,"Creve coer lake, St Louis MO",Pin Oak,Callirhytis quercuscornigera,in 7 different cups,dormant,,viable
840,16,Quercus,velutina,6/3/2017,Hannibal MO (Riverside park(,Black oak,Melikaiella ostensackeni,,dormant,,viable
843,16,Quercus,rubra,6/3/2017,Hannibal MO (Riverside park(,Red Oak,Melikaiella ostensackeni,,dormant,,viable
845,13,Quercus,macrocarpa,6/3/2017,"Creve coer lake, St Louis MO",Bur Oak,Callirhytis flavipes,,dormant,,viable
846,70,Quercus,palustris,6/3/2017,"Sheltons yard, st. louis MO",Pin Oak,Callirhytis quercuscornigera,,dormant,,viable
847,69,Quercus,palustris,6/3/2017,"Sheltons yard, st. louis MO",Pin Oak,Callirhytis quercuspunctata,"no signs of horns, perhaps not mature enough for horns to show",dormant,,viable
849,39,Quercus,alba,6/6/2017,Willow Creek Park,,Callirhytis seminator,,dormant,,viable
850,45,Quercus,palustris,6/6/2017,North pavilline park (Coralville IA),Pin Oak,Amphibolips quercusostensackenii,,dormant,,viable
852,42,Quercus,bicolor,6/6/2017,North pavilline park (Coralville IA),Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
853,16,Quercus,rubra,6/6/2017,North pavilline park (Coralville IA),Red Oak,Melikaiella ostensackeni,,dormant,,viable
855,45,Quercus,palustris,6/7/2017,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak,Amphibolips quercusostensackenii,,dormant,,viable
859,13,Quercus,macrocarpa,6/7/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Callirhytis flavipes,,dormant,,viable
860,7,Quercus,macrocarpa,6/7/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Andricus foliaformis,,dormant,,viable
861,42,Quercus,bicolor,6/7/2017,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,in three cups,dormant,,viable
862,13,Quercus,bicolor,6/7/2017,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Callirhytis flavipes,,dormant,,viable
863,39,Quercus,alba,6/8/2017,Kent Park,White Oak,Callirhytis seminator,,dormant,,viable
865,51,Quercus,alba,6/8/2017,Kent Park,White Oak,Callirhytis futilis,,dormant,,viable
866,35,Quercus,alba,6/8/2017,Kent Park,White Oak,Loxaulus quercusmammula,"swelling at base of new growth, woody, could see older galls with exit holes further down the branch",dormant,,viable
869,45,Quercus,rubra,6/8/2017,Kent Park,Red Oak,Amphibolips quercusostensackenii,"4 of them thave turned brown, one with an exit hole",perimature,,viable
870,16,Quercus,rubra,6/8/2017,Kent Park,Red Oak,Melikaiella ostensackeni,,dormant,,viable
872,49,Quercus,rubra,6/8/2017,Kent Park,Red Oak,Callirhytis scitula,"still green, bearing several leaves. Not listed as being found on red oaks",dormant,,viable
874,86,Quercus,rubra,6/8/2017,Kent Park,Red Oak,Amphibolips quercusinanis,"turned brown, no signs of exit holes",dormant,,viable
876,16,Quercus,velutina,6/8/2017,Kent Park,Black oak,Melikaiella ostensackeni,,dormant,,viable
880,42,Quercus,macrocarpa,6/8/2017,Kent Park,Bur Oak,Andricus quercuspetiolicola,,dormant,,viable
881,13,Quercus,macrocarpa,6/8/2017,Kent Park,Bur Oak,Callirhytis flavipes,,dormant,,viable
884,39,Quercus,alba,6/9/2017,Campus,White Oak ,Callirhytis seminator,,dormant,,viable
885,42,Quercus,bicolor,6/9/2017,Campus,Swamp White Oak,Andricus quercuspetiolicola,starting to see a few exit holes on the galls,perimature,,viable
886,49,Quercus,palustris,6/9/2017,Campus,Pin Oak,Callirhytis scitula,,dormant,,viable
892,16,Quercus,palustris,6/13/2017,backyard-Apt. Iowa City,pin Oak,Melikaiella ostensackeni,,dormant,,viable
895,45,Quercus,palustris,6/15/2017,Hickory Hills Park,Pin Oak,Amphibolips quercusostensackenii,"still green, few with exit holes",perimature,,viable
899,51,Quercus,alba,6/15/2017,Hickory Hills Park,White Oak,Callirhytis futilis ,,dormant,,viable
905,10,Quercus,alba,6/15/2017,Hickory Hills Park,White Oak,Andricus quercuspetiolicola,some oddly shaped,dormant,,viable
909,16,Quercus,palustris,6/16/2017,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak,Melikaiella ostensackeni,,dormant,,viable
910,7,Quercus,macrocarpa,6/16/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Andricus foliaformis,,dormant,,viable
911,13,Quercus,macrocarpa,6/16/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Callirhytis flavipes,,dormant,,viable
916,16,Quercus,rubra,6/20/2017,Kent Park,Red Oak,Melikaiella ostensackeni,,dormant,,viable
918,42,Quercus,macrocarpa,6/20/2017,Kent Park,Bur Oak,Andricus quercuspetiolicola,exit holes were present,perimature,,viable
932,70,Quercus,palustris,6/29/2017,"Creve coer lake, St Louis MO",Pin Oak,Callirhytis quercuscornigera,,dormant,,viable
933,16,Quercus,palustris,6/29/2017,"Creve coer lake, St Louis MO",Pin Oak,Melikaiella ostensackeni,,dormant,,viable
939,19,Quercus,alba,6/30/2017,Finkbine,White Oak,Disholcaspis quercusglobulus,from last fall,dormant,,viable
949,42,Quercus,bicolor,6/30/2017,Hawkeye Rec field,Swamp white,Andricus quercuspetiolicola,,dormant,,viable
950,21,Quercus,bicolor,6/30/2017,Hawkeye Rec field,Swamp white,Neuroterus saltarius,"some white/green, some turning brown",developing,,viable
964,21,Quercus,bicolor,7/4/2017,Morman Handcart trail,Swamp white,Neuroterus saltarius,`1/2 brown and `1/2 still green,developing,,viable
969,16,Quercus,palustris,7/6/2017,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak ,Melikaiella ostensackeni,"starting to see a few exit holes- not many, left some on tree to collect later",perimature,,viable
1389,34,Quercus,alba,6/8/2018,"Lansing, Ia Mt hosmer ",White Oak,Calllirhytis clavula,,dormant,,viable
