"longitude","latitude","doy","seasind","acchours"
-100,29,2,0.00153129839908759,21.7365914078368
-100,31,2,0.00135948983277595,17.4803378583871
-100,33,2,0.00116356665735558,13.4597317102147
-100,35,2,0.000938565962889098,9.69602838730759
-100,39,2,0.000374262503986949,3.02296318528752
-100,41,2,1.61776714739588e-05,0.151749386337127
-100,43,2,0,0
-100,45,2,0,0
-100,47,2,0,0
-100,49,2,0,0
-95,31,2,0.00135948983277595,17.4803378583871
-95,33,2,0.00116356665735558,13.4597317102147
-95,35,2,0.000938565962889098,9.69602838730759
-95,39,2,0.000374262503986949,3.02296318528752
-95,41,2,1.61776714739588e-05,0.151749386337127
-95,43,2,0,0
-95,45,2,0,0
-95,47,2,0,0
-95,49,2,0,0
-90,31,2,0.00135948983277595,17.4803378583871
-90,33,2,0.00116356665735558,13.4597317102147
-90,35,2,0.000938565962889098,9.69602838730759
-90,39,2,0.000374262503986949,3.02296318528752
-90,41,2,1.61776714739588e-05,0.151749386337127
-90,43,2,0,0
-90,45,2,0,0
-85,31,2,0.00135948983277595,17.4803378583871
-85,33,2,0.00116356665735558,13.4597317102147
-85,35,2,0.000938565962889098,9.69602838730759
-85,39,2,0.000374262503986949,3.02296318528752
-85,41,2,1.61776714739588e-05,0.151749386337127
-85,43,2,0,0
-85,45,2,0,0
-80,33,2,0.00116356665735558,13.4597317102147
-80,35,2,0.000938565962889098,9.69602838730759
-80,39,2,0.000374262503986949,3.02296318528752
-80,41,2,1.61776714739588e-05,0.151749386337127
-75,39,2,0.000374262503986949,3.02296318528752
-75,41,2,1.61776714739588e-05,0.151749386337127
-75,43,2,0,0
-70,45,2,0,0
-100,29,9,0.0124143433561395,175.885940985606
-100,31,9,0.0110636633704846,141.322054657861
-100,33,9,0.00952359783025498,108.569926352742
-100,35,9,0.0077552166898735,77.8080094697139
-100,39,9,0.00332125459595322,22.9672943124505
-100,41,9,0.000508207178118649,0.230205045831049
-100,43,9,0,0
-100,45,9,0,0
-100,47,9,0,0
-100,49,9,0,0
-95,31,9,0.0110636633704846,141.322054657861
-95,33,9,0.00952359783025498,108.569926352742
-95,35,9,0.0077552166898735,77.8080094697139
-95,39,9,0.00332125459595322,22.9672943124505
-95,41,9,0.000508207178118649,0.230205045831049
-95,43,9,0,0
-95,45,9,0,0
-95,47,9,0,0
-95,49,9,0,0
-90,31,9,0.0110636633704846,141.322054657861
-90,33,9,0.00952359783025498,108.569926352742
-90,35,9,0.0077552166898735,77.8080094697139
-90,39,9,0.00332125459595322,22.9672943124505
-90,41,9,0.000508207178118649,0.230205045831049
-90,43,9,0,0
-90,45,9,0,0
-85,31,9,0.0110636633704846,141.322054657861
-85,33,9,0.00952359783025498,108.569926352742
-85,35,9,0.0077552166898735,77.8080094697139
-85,39,9,0.00332125459595322,22.9672943124505
-85,41,9,0.000508207178118649,0.230205045831049
-85,43,9,0,0
-85,45,9,0,0
-80,33,9,0.00952359783025498,108.569926352742
-80,35,9,0.0077552166898735,77.8080094697139
-80,39,9,0.00332125459595322,22.9672943124505
-80,41,9,0.000508207178118649,0.230205045831049
-75,39,9,0.00332125459595322,22.9672943124505
-75,41,9,0.000508207178118649,0.230205045831049
-75,43,9,0,0
-70,45,9,0,0
-100,29,16,0.0236774537290771,334.8856352716
-100,31,16,0.0212029100174923,269.227803565647
-100,33,16,0.018381832357126,206.81885292054
-100,35,16,0.0151430911876091,148.005733848368
-100,39,16,0.00702499717477398,42.570940123228
-100,41,16,0.001875832165613,0.230205045831049
-100,43,16,0,0
-100,45,16,0,0
-100,47,16,0,0
-100,49,16,0,0
-95,31,16,0.0212029100174923,269.227803565647
-95,33,16,0.018381832357126,206.81885292054
-95,35,16,0.0151430911876091,148.005733848368
-95,39,16,0.00702499717477398,42.570940123228
-95,41,16,0.001875832165613,0.230205045831049
-95,43,16,0,0
-95,45,16,0,0
-95,47,16,0,0
-95,49,16,0,0
-90,31,16,0.0212029100174923,269.227803565647
-90,33,16,0.018381832357126,206.81885292054
-90,35,16,0.0151430911876091,148.005733848368
-90,39,16,0.00702499717477398,42.570940123228
-90,41,16,0.001875832165613,0.230205045831049
-90,43,16,0,0
-90,45,16,0,0
-85,31,16,0.0212029100174923,269.227803565647
-85,33,16,0.018381832357126,206.81885292054
-85,35,16,0.0151430911876091,148.005733848368
-85,39,16,0.00702499717477398,42.570940123228
-85,41,16,0.001875832165613,0.230205045831049
-85,43,16,0,0
-85,45,16,0,0
-80,33,16,0.018381832357126,206.81885292054
-80,35,16,0.0151430911876091,148.005733848368
-80,39,16,0.00702499717477398,42.570940123228
-80,41,16,0.001875832165613,0.230205045831049
-75,39,16,0.00702499717477398,42.570940123228
-75,41,16,0.001875832165613,0.230205045831049
-75,43,16,0,0
-70,45,16,0,0
-100,29,23,0.0354418066510883,500.521490517878
-100,31,23,0.0319156525943268,403.154395014691
-100,33,23,0.027896393469772,310.325050041207
-100,35,23,0.0232829791327657,222.555531387424
-100,39,23,0.0117233060175688,64.33462554556
-100,41,23,0.00439298063648088,0.230205045831049
-100,43,23,0.000150428181931306,0
-100,45,23,0,0
-100,47,23,0,0
-100,49,23,0,0
-95,31,23,0.0319156525943268,403.154395014691
-95,33,23,0.027896393469772,310.325050041207
-95,35,23,0.0232829791327657,222.555531387424
-95,39,23,0.0117233060175688,64.33462554556
-95,41,23,0.00439298063648088,0.230205045831049
-95,43,23,0.000150428181931306,0
-95,45,23,0,0
-95,47,23,0,0
-95,49,23,0,0
-90,31,23,0.0319156525943268,403.154395014691
-90,33,23,0.027896393469772,310.325050041207
-90,35,23,0.0232829791327657,222.555531387424
-90,39,23,0.0117233060175688,64.33462554556
-90,41,23,0.00439298063648088,0.230205045831049
-90,43,23,0.000150428181931306,0
-90,45,23,0,0
-85,31,23,0.0319156525943268,403.154395014691
-85,33,23,0.027896393469772,310.325050041207
-85,35,23,0.0232829791327657,222.555531387424
-85,39,23,0.0117233060175688,64.33462554556
-85,41,23,0.00439298063648088,0.230205045831049
-85,43,23,0.000150428181931306,0
-85,45,23,0,0
-80,33,23,0.027896393469772,310.325050041207
-80,35,23,0.0232829791327657,222.555531387424
-80,39,23,0.0117233060175688,64.33462554556
-80,41,23,0.00439298063648088,0.230205045831049
-75,39,23,0.0117233060175688,64.33462554556
-75,41,23,0.00439298063648088,0.230205045831049
-75,43,23,0.000150428181931306,0
-70,45,23,0,0
-100,29,30,0.0478149753256424,674.394071019517
-100,31,30,0.0433245552295319,544.88104036243
-100,33,30,0.0382071163707738,421.04364263716
-100,35,30,0.0323343836861686,303.58157453217
-100,39,30,0.0176247580281691,90.6818082240328
-100,41,30,0.00829900651131866,2.00305701006256
-100,43,30,0.00166349540779202,0
-100,45,30,0,0
-100,47,30,0,0
