id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
105175,Nkungu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:10:25Z
106185,Nkungu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:11:18Z
103792,Nkokokoya,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:18:50Z
98387,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:20:16Z
612724,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:21:08Z
612743,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:21:51Z
612744,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:29:15Z
612747,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:31:13Z
549549,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:32:33Z
612754,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:33:50Z
612783,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:35:46Z
612785,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:36:53Z
612792,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:37:41Z
612813,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:39:20Z
612813,Msindi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:39:50Z
612839,Masaradina,und,"Chobe, BW | Okavango Basin","",,Ba Yei,Dewald du Plessis,2020-03-18T08:40:44Z
612855,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:41:25Z
612855,Msindi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:41:54Z
612864,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:42:57Z
612874,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:44:04Z
612900,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:44:45Z
612914,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:46:02Z
107738,Masaradina,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:47:04Z
96090,Nchenga,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:53:55Z
82777,Ndweshi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:55:02Z
82777,Ngwesi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:55:32Z
105700,Misindi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:57:34Z
105700,Oxhwara,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T08:58:09Z
615250,Onyiro,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:00:45Z
93947,Nxhaoxhaa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:04:20Z
82779,Onyanda,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:13:21Z
108747,Onxaa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:26:28Z
