id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
188524,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:31:01Z
92348,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:33:44Z
113695,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:36:11Z
113640,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:42:06Z
113640,Mphuto,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:43:43Z
188515,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:47:50Z
113683,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:49:25Z
113688,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:50:51Z
112197,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:52:41Z
112197,Nxhoko,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:53:11Z
98766,Nvundo,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T09:59:42Z
98766,Bontho,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:00:12Z
528869,Ditapia,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:02:24Z
528869,Mapakibidu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:04:33Z
528869,Tlhapi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:05:05Z
528869,Nxhoro,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:05:42Z
102479,Hagwa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:11:21Z
107874,Ditapia,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:13:00Z
107874,Empaa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:13:28Z
107887,Ditapia,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:16:08Z
107887,Ntshu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:17:49Z
109240,Sikamakhodje rhe muklhumu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:20:10Z
69702,Molomo sekausu,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:21:04Z
112058,Ozizi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:24:26Z
112061,Mpa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:27:11Z
112488,Mpwere,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:30:58Z
82782,Nxlhaa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:34:17Z
112495,Njeyi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:35:53Z
114170,Ditapia,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:38:13Z
114172,Ditapia,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:50:41Z
114172,Izizi,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2020-03-18T10:51:17Z
611679,Nxlhaa,und,"Okavango Basin | Chobe, BW","",,Ba Yei,Dewald du Plessis,2021-10-04T16:39:01Z
