"id","lat","lon"
110784071,"30.2707521371","-97.7145514067"
111342716,"30.2713745264","-97.7143813914"
111342716,"30.2713745264","-97.7143813914"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185188,"30.2707569325","-97.7146252398"
112185193,"30.273186222","-97.7144816395"
112579333,"30.2707265364","-97.7146344808"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
112420439,"30.2847090158","-97.7161702433"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
111342704,"30.2729869235","-97.7140411551"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
112579350,"30.2733","-97.7147138889"
