collection,date,site,state,country,latitude,longitude
1489,8/3/2018,San Jose,CA,USA,37.170662,-121.73072
1484,7/31/2018,Davis,CA,USA,38.543442,-121.700387
1470,7/31/2018,Folsom ,CA,USA,38.668095,-121.151961
1485,7/31/2018,Davis ,CA,USA,38.543442,-121.700387
1493,8/3/2018,San Jose,CA,USA,37.170662,-121.73072
1515,8/3/2018,Buellton,CA,USA,34.74428,-120.275392
1497,8/3/2018,San Jose,CA,USA,37.170662,-121.73072
1520,8/5/2018,Borrego Springs,CA,USA,33.223433,-116.454467
